A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
84.300,59.300,37.500,24.900,16.400,6.400,
,64.600,49.900,37.200,28.200,14.100,
107.000,77.700,64.900,52.200,41.000,13.600,
83.200,59.600,47.500,23.800,14.600,9.700,
115.600,90.600,72.400,48.400,32.000,16.800,
99.700,85.900,72.500,34.900,27.200,8.100,
105.000,81.100,66.900,44.900,39.200,16.800,
,41.900,32.200,21.300,13.100,5.500,
74.500,55.100,39.800,28.700,16.900,7.700,
128.000,107.100,91.900,72.500,52.900,21.100,
119.200,96.800,76.100,55.400,39.000,16.600,
,67.100,58.000,47.400,36.900,14.200,
105.500,81.200,67.000,45.000,39.200,16.800,
143.600,108.700,85.700,58.100,39.300,20.300,
124.100,97.300,77.300,47.200,31.200,12.600,
,68.300,52.100,38.800,29.300,14.100,
128.200,104.900,83.200,50.400,34.500,14.200,
104.800,77.900,63.100,50.600,37.600,13.200,
107.900,78.400,65.300,52.500,41.300,13.900,
,68.200,56.500,44.800,35.200,11.600,
103.200,76.800,62.800,46.400,,11.500,
126.800,98.900,72.300,44.600,31.700,17.000,
78.100,64.600,54.700,45.200,,11.000,
,68.400,57.300,45.400,35.600,11.800,
128.400,106.200,83.900,51.300,35.100,15.300,
122.000,95.300,71.500,52.900,32.200,17.300,
88.100,71.000,43.700,32.900,24.000,9.900,
107.400,78.700,64.600,52.200,39.800,13.200,
,72.200,59.800,47.400,37.200,12.300,
122.700,96.800,73.900,53.900,33.300,18.100,
128.700,101.600,77.500,56.600,,19.000,
,68.300,52.100,38.800,29.300,14.100,
105.500,78.700,65.300,46.900,36.000,16.200,
,64.400,53.400,42.000,32.700,10.800,
107.200,77.600,64.600,52.000,40.900,13.700,
125.500,102.300,80.700,49.000,33.200,13.900,
78.100,64.600,54.700,45.200,,11.000,
107.200,78.000,58.500,44.500,33.900,12.100,
,79.900,62.400,51.900,39.100,11.300,
131.000,109.900,82.900,47.400,37.300,14.500,
,64.400,53.400,42.000,32.700,10.800,
113.500,91.400,76.900,52.400,45.800,22.100,
90.200,70.900,51.400,26.800,18.200,7.900,
